Sample,Terrace,Species,Replicate,EcoType,Carbon ,Nitrogen,Phenolics,Aluminum,Boron,Calcium,Cadmium,Copper,Iron,Potassium,Magnesium,Manganese,Molybdenum,Sodium,Phosphorus,Lead,Sulfur,Silicon,Zinc
T2P1,Two,Pinus,1,T2P,48.46,1.3,1.2,371.07,17.36,2491.92,0.09,6.12,48.6,11719.82,1409.41,287.57,0.63,681.31,1371.1,0.67,1338.22,68.09,30.7
T2P10,Two,Pinus,10,T2P,,,,,,,,,,,,,,,,,,,
T2P2,Two,Pinus,2,T2P,46.62,0.82,2,306.89,12.52,2124.89,0.09,6.19,54.65,4884.82,1526.46,261.02,0,695.3,911.08,0.64,903.79,393.52,18.33
T2P3,Two,Pinus,3,T2P,49.64,1.15,0.9,335.21,9.51,1606.56,0,6.47,41.63,7645.78,978.44,155.69,0.12,514.5,1254.65,0.39,1156.78,186.81,27.1
T2P4,Two,Pinus,4,T2P,44.79,1.01,1.3,340.01,14.66,2272.43,0.08,6.13,64.64,6652.28,1462.67,359.03,0.02,857.59,1282.34,0.19,1183.48,158.32,16.13
T2P5,Two,Pinus,5,T2P,49.01,1,0.4,277.31,11.52,1921.93,0.06,9.14,41.27,7706.17,1188.63,200.7,0.44,830.97,1241.21,0.24,979.87,117.24,13.33
T2P6,Two,Pinus,6,T2P,48.31,0.99,3.1,201.89,10.1,734.29,0,7.52,45.37,5296.45,775.29,120.36,0.1,587.81,980.11,1,1100.03,44.06,10.53
T2P7,Two,Pinus,7,T2P,,,,212.21,7.59,601.15,0.04,8.56,46.14,7425.57,906.58,138.06,0.13,491.76,1345.92,0.04,897.92,67.6,3.11
T2P8,Two,Pinus,8,T2P,47.5,1.13,,,,,,,,,,,,,,,,,
T2P9,Two,Pinus,9,T2P,,,,239.19,11.56,2236.56,0.05,7.57,57.93,6198.62,1779.01,382.32,0.75,577.51,937.4,0.56,2376.02,92.66,9.89
T3P1,Three,Pinus,1,T3P,47.94,0.8,2.6,332.3,13.63,2185.74,0,7.59,44.33,5229.76,950.57,231.64,0,508.4,682.76,0.48,736.88,106.55,10.01
T3P10,Three,Pinus,10,T3P,47.15,0.61,,948.02,10.32,1487.11,0,7.43,153.82,4600.07,1005.08,107.78,0.81,799.87,677.9,1.2,847.69,354,0
T3P2,Three,Pinus,2,T3P,45.83,1.12,1.2,362.94,11.22,1173.56,0,6.57,40.94,6891.77,1127.99,127.73,0.04,419.19,901.49,0,889.33,69.85,5.3
T3P3,Three,Pinus,3,T3P,48.9,0.91,3.2,423.59,10.48,1350.11,0.01,7.37,42.45,5497.16,946.28,85.59,0.39,778.11,844.8,0,935.21,333.48,0.22
T3P4,Three,Pinus,4,T3P,46.36,1.22,3.4,312.58,21.89,2662.3,0.02,8.72,69.54,5573.14,1018.97,147.98,0.27,680.67,940.5,0.87,861.71,104.48,3.08
T3P5,Three,Pinus,5,T3P,48.63,0.87,0.8,280.59,9.09,1185.9,0.04,4.29,43.7,7230.68,1040.96,59.98,0.23,592.45,693.5,1.05,846.17,221.56,5.3
T3P6,Three,Pinus,6,T3P,47.95,0.79,3.9,344.97,17.12,1581.22,0.01,4.19,33.81,5273.55,945.75,96.07,0,429.8,583.63,1.15,838.68,338.75,15.67
T3P7,Three,Pinus,7,T3P,48.19,0.95,2.5,292.44,20.64,3168.69,0.02,7.27,69.74,5726.55,871.88,120.97,0,700.93,838.37,1.27,1058.69,91.43,20.23
T3P8,Three,Pinus,8,T3P,48.91,0.92,2.8,268.61,14.27,1413.7,0.04,10.57,56.26,5764.92,1166.38,76.53,0.63,649.55,949.57,0.91,1157.28,79.51,2.88
T3P9,Three,Pinus,9,T3P,47.96,0.8,3.9,297.26,18.4,2963.36,0.02,5.71,39.08,6709.78,741.53,189.28,0.89,333.87,683.38,0.95,741.33,424.93,25.3
T4P1,Four,Pinus,1,T4P,47.73,0.64,,,,,,,,,,,,,,,,,
