,Kingdom,Phylum,Class,Order,Family,Confidence
ASV9281,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,1
ASV9282,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,1
ASV9285,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,1
ASV9286,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV9288,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,0.67
ASV9289,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,1
ASV9291,Bacteria,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,1
ASV9298,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,1
ASV9300,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,1
ASV9301,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,1
ASV9303,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV9307,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,1
ASV9308,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV9310,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV9312,Bacteria,OP11,OP11-3,NA,NA,1
ASV9313,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV9319,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV9320,Bacteria,Chloroflexi,Anaerolineae,SBR1031,oc28,1
ASV9322,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,1
ASV9331,Bacteria,Proteobacteria,TA18,PHOS-HD29,NA,1
ASV9334,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,NA,1
ASV9342,Bacteria,TM6,SJA-4,NA,NA,1
ASV9345,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,1
ASV9354,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,0.67
ASV9356,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,0.67
ASV9357,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV9358,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,1
ASV9359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV9360,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,1
ASV9361,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,1
ASV9362,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
