,Name,Plant_ID,Type,Experiment,Cohort,Harvested,Age,Site,Treatment,Line,Genotype,Block
M1981P616,8_0365.root,8_0365,root,ecotypes,2008,2011,3,Mil,field,MIL.68.B,MIL,8_08
M1981P618,8_0351.root,8_0351,root,ecotypes,2008,2011,3,Mil,field,MAH.13.A,MAH,8_08
M1981P619,8_0970.root,8_0970,root,ecotypes,2008,2011,3,Mah,field,MIL.68.B,MIL,8_21
M1981P623,8_0174.leaf,8_0174,leaf,ecotypes,2008,2011,3,Jam,field,MAH.37.A,MAH,8_04
M1981P626,8_1388.leaf,8_1388,leaf,ecotypes,2008,2011,3,Jam,field,SILLow.7,SIL,8_29
M1981P631,8_0393.root,8_0393,root,ecotypes,2008,2011,3,Mah,field,PAR.13.A,PAR,8_09
M1981P632,8_0776.leaf,8_0776,leaf,ecotypes,2008,2011,3,Jam,field,JAM.22.A,JAM,8_17
M1981P636,8_1333.leaf,8_1333,leaf,ecotypes,2008,2011,3,Mah,field,MAH.16.A,MAH,8_28
M1981P638,8_0608.leaf,8_0608,leaf,ecotypes,2008,2011,3,Jam,field,MAH.16.A,MAH,8_13
M1981P639,8_1382.leaf,8_1382,leaf,ecotypes,2008,2011,3,Jam,field,MIL.70.A,MIL,8_29
M1981P643,8_0098.root,8_0098,root,ecotypes,2008,2011,3,Mil,field,MAH.8.A1,MAH,8_03
M1982P701,8_0096.root,8_0096,root,ecotypes,2008,2011,3,Mah,field,PAR.9.A1,PAR,8_02
M1982P729,8_0090.root,8_0090,root,ecotypes,2008,2011,3,Mah,field,SILLow.5,SIL,8_02
M1982P728,8_0488.root,8_0488,root,ecotypes,2008,2011,3,Mil,field,JAM.17.A,JAM,8_11
M1982P663,8_1048.leaf,8_1048,leaf,ecotypes,2008,2011,3,Jam,field,SILLow.2,SIL,8_22
M1982P696,8_0327.leaf,8_0327,leaf,ecotypes,2008,2011,3,Jam,field,PAR.22.A2,PAR,8_07
M1982P691,8_0698.root,8_0698,root,ecotypes,2008,2011,3,Par,field,MAH.9.B,MAH,8_15
M1982P730,8_0998.root,8_0998,root,ecotypes,2008,2011,3,Mah,field,SILLow.7,SIL,8_21
M1982P705,8_0773.leaf,8_0773,leaf,ecotypes,2008,2011,3,Jam,field,MAH.9.B,MAH,8_17
M1982P667,8_0398.root,8_0398,root,ecotypes,2008,2011,3,Mah,field,SILupper.2,SIL,8_09
M1982P670,8_0932.root,8_0932,root,ecotypes,2008,2011,3,Mil,field,MIL.54.A,MIL,8_20
M1982P661,8_0149.leaf,8_0149,leaf,ecotypes,2008,2011,3,Jam,field,SILLow.7,SIL,8_04
M1982P651,8_0677.root,8_0677,root,ecotypes,2008,2011,3,Par,field,JAM.26.A,JAM,8_15
M1982P664,8_0803.leaf,8_0803,leaf,ecotypes,2008,2011,3,Jam,field,MIL.20.B,MIL,8_17
M1982P711,8_0326.leaf,8_0326,leaf,ecotypes,2008,2011,3,Jam,field,MIL.60.A,MIL,8_07
M1982P645,8_0561.root,8_0561,root,ecotypes,2008,2011,3,Mah,field,MAH.37.A,MAH,8_12
M1982P662,8_0107.root,8_0107,root,ecotypes,2008,2011,3,Mil,field,JAM.15.A,JAM,8_03
M1982P679,8_1032.leaf,8_1032,leaf,ecotypes,2008,2011,3,Jam,field,JAM.15.A,JAM,8_22
